#_mobile,#.1_mobile,Country,Mbps_mobile,#_broadband,#.1_broadband,Mbps_broadband,alpha_3
109.0,+3,Indonesia,17.27,122.0,+1,24.32,IDN
110.0,-1,Peru,16.62,60.0,+1,65.73,PER
111.0,-8,Jordan,16.6,54.0,-1,74.46,JOR
112.0,+2,DR Congo,15.86,151.0,+1,10.24,COD
113.0,+9,Zambia,15.14,157.0,+5,8.66,ZMB
114.0,+3,Pakistan,14.93,150.0,-,10.28,PAK
115.0,+1,Uzbekistan,14.55,90.0,-2,45.17,UZB
116.0,+8,Tanzania,14.48,141.0,-1,12.99,TZA
117.0,+8,Libya,14.48,155.0,+2,8.86,LBY
118.0,-,Sri Lanka,14.27,128.0,+1,20.09,LKA
119.0,+7,Bangladesh,13.95,102.0,+3,34.85,BGD
120.0,-1,Panama,13.92,23.0,+1,118.01,PAN
121.0,-,Nepal,13.49,83.0,-1,48.45,NPL
122.0,+1,Algeria,13.4,147.0,-2,11.01,DZA
123.0,+6,Sudan,13.38,172.0,+1,5.04,SDN
124.0,+7,Burkina Faso,12.6,92.0,-1,44.78,BFA
125.0,+10,Belarus,11.71,77.0,-3,50.27,BLR
126.0,+8,Somalia,11.65,161.0,-7,8.34,SOM
127.0,-17,Ukraine,11.23,67.0,-2,60.0,UKR
128.0,-,Mauritania,10.92,123.0,-2,23.74,MRT
129.0,-1,Zimbabwe,10.88,158.0,+8,8.52,ZWE
130.0,-,Colombia,10.82,39.0,+2,89.61,COL
131.0,-11,Cameroon,10.55,160.0,+1,8.41,CMR
132.0,+1,Bolivia,10.16,121.0,+1,24.94,BOL
133.0,-,Belize,9.73,96.0,-1,40.72,BLZ
134.0,-7,Yemen,9.63,175.0,-1,3.9,YEM
135.0,-3,Syria,9.27,176.0,+1,3.16,SYR
136.0,+1,Tajikistan,8.17,104.0,+12,32.09,TJK
137.0,-1,Ghana,7.9,114.0,-2,27.7,GHA
138.0,-33,Papua New Guinea,6.75,142.0,+1,11.94,PNG
139.0,+2,Haiti,6.3,134.0,+1,15.71,HTI
140.0,-,Cuba,5.74,180.0,-,1.91,CUB
141.0,-3,Venezuela,5.71,139.0,-2,14.49,VEN
142.0,-3,Afghanistan,5.27,179.0,-,2.25,AFG
,,Monaco,,9.0,+5,181.26,MCO
,,Andorra,,18.0,+5,131.3,AND
,,Liechtenstein,,26.0,-6,110.97,LIE
,,Dominica,,44.0,+2,82.11,DMA
,,Barbados,,49.0,-4,78.27,BRB
,,Saint Vincent and the Grenadines,,51.0,-1,76.59,VCT
,,Saint Lucia,,52.0,-13,75.16,LCA
,,Grenada,,62.0,+2,64.02,GRD
,,San Marino,,63.0,+5,61.32,SMR
,,Palestine,,76.0,+14,50.45,PSE
,,Guyana,,79.0,-3,49.78,GUY
,,The Bahamas,,91.0,-8,45.11,BHS
,,Gabon,,99.0,-2,39.72,GAB
,,Seychelles,,107.0,-4,30.86,SYC
,,Madagascar,,108.0,-8,30.62,MDG
,,Congo,,110.0,-1,29.58,COG
